"","covol"
"2005-01-05",0.27798812794327
"2005-01-06",3.52489749275313e-05
"2005-01-07",3.52489749275313e-05
"2005-01-10",3.52489749275313e-05
"2005-01-11",3.52489749275313e-05
"2005-01-12",3.52489749275313e-05
"2005-01-13",3.52489749275313e-05
"2005-01-14",3.52489749275313e-05
"2005-01-17",3.52489749275313e-05
"2005-01-18",0.950419754804224
"2005-01-19",0.840488584272341
"2005-01-20",3.52489749275313e-05
"2005-01-21",3.52489749275313e-05
"2005-01-24",3.52489749275313e-05
"2005-01-25",3.52489749275313e-05
"2005-01-26",1.02975845247139
"2005-01-27",3.52489749275313e-05
"2005-01-28",3.52489749275313e-05
"2005-01-31",0.267342877884257
"2005-02-01",2.67073158550214
"2005-02-02",3.52489749275313e-05
"2005-02-03",3.52489749275313e-05
"2005-02-04",3.52489749275313e-05
"2005-02-07",2.55295812829419
"2005-02-08",3.52489749275313e-05
"2005-02-09",3.52489749275313e-05
"2005-02-10",3.50605629352703
"2005-02-11",3.52489749275313e-05
"2005-02-14",3.52489749275313e-05
"2005-02-15",3.52489749275313e-05
"2005-02-16",1.44413350411193
"2005-02-17",2.25913025248057
"2005-02-18",3.52489749275313e-05
"2005-02-21",3.52489749275313e-05
"2005-02-22",3.98974330514483
"2005-02-23",3.52489749275313e-05
"2005-02-24",3.52489749275313e-05
"2005-02-25",1.28935091975476
"2005-02-28",0.814973435845556
"2005-03-01",3.40058211560576
"2005-03-02",0.127193748380189
"2005-03-03",0.323669800240667
"2005-03-04",3.52489749275313e-05
"2005-03-07",0.332572693847729
"2005-03-08",3.52489749275313e-05
"2005-03-09",1.98229947581684
"2005-03-10",4.19487484920709
"2005-03-11",1.37899399925884
"2005-03-14",0.916413848987348
"2005-03-15",3.52489749275313e-05
"2005-03-16",4.55865959357252
"2005-03-17",1.37135692079007
"2005-03-18",3.52489749275313e-05
"2005-03-21",3.52489749275313e-05
"2005-03-22",0.443884598363305
"2005-03-23",3.31720786175341
"2005-03-24",3.52489749275313e-05
"2005-03-28",4.89419602405656
"2005-03-29",0.21141203632213
"2005-03-30",3.3788393173393
"2005-03-31",7.15036013819946
"2005-04-01",1.29460778629613
"2005-04-04",3.52489749275313e-05
"2005-04-05",0.922575036320139
"2005-04-06",3.52489749275313e-05
"2005-04-07",0.609844019060693
"2005-04-08",3.52489749275313e-05
"2005-04-11",3.52489749275313e-05
"2005-04-12",0.444907539447563
"2005-04-13",2.01240316313206
"2005-04-14",0.164603908005534
"2005-04-15",1.96189579050492
"2005-04-18",3.52489749275313e-05
"2005-04-19",1.01724016393436
"2005-04-20",3.52489749275313e-05
"2005-04-21",3.52489749275313e-05
"2005-04-22",3.52489749275313e-05
"2005-04-25",0.318682748503702
"2005-04-26",3.52489749275313e-05
"2005-04-27",1.35384730758661
"2005-04-28",3.96688479952304
"2005-04-29",3.52489749275313e-05
"2005-05-02",1.95308294849232
"2005-05-03",0.0463285441233892
"2005-05-04",0.298095077296818
"2005-05-05",3.52489749275313e-05
"2005-05-06",3.52489749275313e-05
"2005-05-09",0.760651441705976
"2005-05-10",0.493650404837856
"2005-05-11",3.52489749275313e-05
"2005-05-12",2.16053418654678
"2005-05-13",3.39653944047391
"2005-05-16",0.309230867804016
"2005-05-17",1.27406669250065
"2005-05-18",0.359836750441486
"2005-05-19",3.52489749275313e-05
"2005-05-20",3.52489749275313e-05
"2005-05-24",0.890885285317192
"2005-05-25",3.52489749275313e-05
"2005-05-26",3.52489749275313e-05
"2005-05-27",0.257286349604461
"2005-05-30",3.52489749275313e-05
"2005-05-31",0.440012356842695
"2005-06-01",1.3596606856973
"2005-06-02",3.52489749275313e-05
"2005-06-03",3.52489749275313e-05
"2005-06-06",0.791388567869561
"2005-06-07",3.52489749275313e-05
"2005-06-08",3.52489749275313e-05
"2005-06-09",0.58832597867117
"2005-06-10",2.28566865814328
"2005-06-13",3.52489749275313e-05
"2005-06-14",3.52489749275313e-05
"2005-06-15",0.433888825403358
"2005-06-16",1.23786806455339
"2005-06-17",0.260031068671215
"2005-06-20",0.0868303484092862
"2005-06-21",1.60623248447373
"2005-06-22",1.51271314426651
"2005-06-23",0.426924870338891
"2005-06-24",3.52489749275313e-05
"2005-06-27",4.27698796729166
"2005-06-28",1.00006048860106
"2005-06-29",0.223003226601219
"2005-06-30",1.36651973651378
"2005-07-04",2.55867544623907
"2005-07-05",4.19761557822377
"2005-07-06",3.52489749275313e-05
"2005-07-07",3.52489749275313e-05
"2005-07-08",3.52489749275313e-05
"2005-07-11",3.52489749275313e-05
"2005-07-12",3.52489749275313e-05
"2005-07-13",3.52489749275313e-05
"2005-07-14",1.46892569282426
"2005-07-15",0.139372326479848
"2005-07-18",0.677638007717189
"2005-07-19",2.73682413775735
"2005-07-20",3.52489749275313e-05
"2005-07-21",2.51012144688156
"2005-07-22",0.459605406780604
"2005-07-25",3.52489749275313e-05
"2005-07-26",0.0171115750939967
"2005-07-27",2.48855173714046
"2005-07-28",3.52489749275313e-05
"2005-07-29",1.31419095329568
"2005-08-02",5.2800919665758
"2005-08-03",3.52489749275313e-05
"2005-08-04",2.14133595517466
"2005-08-05",3.52489749275313e-05
"2005-08-08",3.2647152626187
"2005-08-09",3.52489749275313e-05
"2005-08-10",3.52489749275313e-05
"2005-08-11",0.181406054771024
"2005-08-12",3.52489749275313e-05
"2005-08-15",0.075189867104661
"2005-08-16",0.342561849885663
"2005-08-17",0.556191762289984
"2005-08-18",1.62779302263216
"2005-08-19",2.17175972713543
"2005-08-22",3.52489749275313e-05
"2005-08-23",3.52489749275313e-05
"2005-08-24",0.193169055987952
"2005-08-25",3.52489749275313e-05
"2005-08-26",3.52489749275313e-05
"2005-08-29",3.52489749275313e-05
"2005-08-30",1.56932431211785
"2005-08-31",1.26144901184555
"2005-09-01",4.41750890294364
"2005-09-02",3.52489749275313e-05
"2005-09-06",3.52489749275313e-05
"2005-09-07",0.892040148756802
"2005-09-08",3.52489749275313e-05
"2005-09-09",0.110377070890869
"2005-09-12",3.52489749275313e-05
"2005-09-13",3.52489749275313e-05
"2005-09-14",1.85771567177755
"2005-09-15",3.52489749275313e-05
"2005-09-16",3.52489749275313e-05
"2005-09-19",1.03763603855618
"2005-09-20",1.04952954540642
"2005-09-21",3.52489749275313e-05
"2005-09-22",9.71286629369366
"2005-09-23",2.08873335347155
"2005-09-26",0.968307308023712
"2005-09-27",1.17182102012158
"2005-09-28",3.91317227311167
"2005-09-29",2.41702866501133
"2005-09-30",3.52489749275313e-05
"2005-10-03",3.52489749275313e-05
"2005-10-04",2.99911770640721
"2005-10-05",11.4020022098282
"2005-10-06",3.99447418342603
"2005-10-07",4.05515857032048
"2005-10-11",3.52489749275313e-05
"2005-10-12",1.01009436675453
"2005-10-13",2.4061669349416
"2005-10-14",0.707010784250314
"2005-10-17",3.52489749275313e-05
"2005-10-18",2.5704179599951
"2005-10-19",0.942894325431175
"2005-10-20",4.46551917087562
"2005-10-21",0.56266325726733
"2005-10-24",3.52489749275313e-05
"2005-10-25",2.23616541700243
"2005-10-26",3.52489749275313e-05
"2005-10-27",3.52489749275313e-05
"2005-10-28",3.52489749275313e-05
"2005-10-31",3.52489749275313e-05
"2005-11-01",3.52489749275313e-05
"2005-11-02",2.18937537694811
"2005-11-03",3.52489749275313e-05
"2005-11-04",3.52489749275313e-05
