Date,XIC.TO,XST.TO,ZIN.TO,XFN.TO,XMA.TO,XUT.TO,XIT.TO,XEG.TO,XRE.TO
2005-01-04,56.3202,,,38.9000,,,8.5643,49.3000,11.8421
2005-01-05,55.6498,,,38.4700,,,8.4746,48.3500,11.6903
2005-01-06,55.6901,,,38.2400,,,8.5083,49.1000,11.7409
2005-01-07,55.4801,,,38.0500,,,8.4410,48.9100,11.6903
2005-01-10,55.3900,,,37.9900,,,8.3962,49.1800,11.7915
2005-01-11,55.4501,,,37.9200,,,8.4186,49.4200,11.7409
2005-01-12,55.4501,,,37.6500,,,8.4522,50.1700,11.7915
2005-01-13,55.2499,,,37.5600,,,8.3513,50.6600,11.8927
2005-01-14,55.6601,,,37.7300,,,8.3962,50.9200,11.8927
2005-01-17,55.6498,,,37.8700,,,8.2841,51.0800,11.8927
2005-01-18,55.7600,,,37.9100,,,8.4634,51.7000,11.8522
2005-01-19,55.7000,,,38.0000,,,8.2729,51.4200,11.9433
2005-01-20,55.5799,,,37.9000,,,8.2392,51.0600,11.9433
2005-01-21,55.4702,,,37.7800,,,8.0711,51.2000,11.9433
2005-01-24,55.3999,,,37.7600,,,7.9366,51.6500,12.0445
2005-01-25,55.7600,,,37.9300,,,7.9814,51.9700,12.0951
2005-01-26,56.1402,,,38.1400,,,8.1944,52.2800,12.1457
2005-01-27,56.0900,,,38.1000,,,8.1047,52.5700,12.1964
2005-01-28,55.8899,,,37.9000,,,8.1159,52.3000,12.2976
2005-01-31,56.0999,,,37.9900,,,8.2953,52.4900,12.2470
2005-02-01,56.6400,,,38.0200,,,8.5083,53.2600,12.2470
2005-02-02,56.8899,,,38.1500,,,8.4074,53.7700,12.2470
2005-02-03,56.7501,,,38.1000,,,8.4074,53.7500,12.3988
2005-02-04,57.1201,,,38.2200,,,8.4410,54.3600,12.3988
2005-02-07,57.3798,,,38.7900,,,8.4634,53.8900,12.4291
2005-02-08,57.2401,,,38.7600,,,8.5083,53.7500,12.4899
2005-02-09,57.4300,,,38.9500,,,8.5083,54.0900,12.5506
2005-02-10,58.1801,,,39.4000,,,8.3850,55.7000,12.6417
2005-02-11,58.4999,,,39.4300,,,8.4746,56.1500,12.6012
2005-02-14,58.6002,,,39.5000,,,8.4298,56.4500,12.5405
2005-02-15,58.5800,,,39.4500,,,8.4298,56.7400,12.6518
2005-02-16,59.1501,,,39.4500,,,8.4634,58.0000,12.5506
2005-02-17,58.8501,,,39.4200,,,8.3962,56.7300,12.3988
2005-02-18,59.1501,,,39.5300,,,8.2953,57.8000,12.3381
2005-02-21,59.2500,,,39.7400,,,8.2953,57.8800,12.2470
2005-02-22,59.0100,,,39.4000,,,8.1047,58.1900,12.3988
2005-02-23,59.2500,,,39.5900,,,8.1495,58.6100,12.2571
2005-02-24,59.1999,,,39.4300,,,8.0374,58.6500,12.3178
2005-02-25,59.6898,,,39.7500,,,7.9366,60.1100,12.2976
2005-02-28,59.3100,,,39.7200,,,7.8357,59.2300,12.3381
2005-03-01,59.6701,,,39.8800,,,8.1271,59.1800,12.3381
2005-03-02,60.0001,,,40.1400,,,8.1720,59.8900,12.5000
2005-03-03,60.4301,,,40.3000,,,8.1495,61.2400,12.5506
2005-03-04,60.8600,,,40.4200,,,8.1159,62.0000,12.5506
2005-03-07,60.5501,,,40.4900,,,8.0374,61.1800,12.5911
2005-03-08,60.6898,,,40.5700,,,8.0038,60.9800,12.5506
2005-03-09,60.0301,,,40.3300,,,7.8805,59.9100,12.4291
2005-03-10,59.3301,,,40.1700,,,7.8469,57.7300,12.2470
2005-03-11,59.2599,,,39.8500,,,7.7572,58.7500,12.2368
2005-03-14,59.4802,,,39.9400,,,7.9590,59.0500,12.1964
2005-03-15,59.5299,,,40.1000,,,7.8917,58.8000,12.1356
2005-03-16,59.5501,,,39.9500,,,8.1495,59.4100,12.0445
2005-03-17,60.1300,,,39.9100,,,8.2729,60.4800,12.0445
2005-03-18,59.9401,,,39.6500,,,8.3513,60.2000,12.0445
2005-03-21,59.6002,,,39.4700,,,8.2392,60.0000,11.9939
2005-03-22,59.4999,,,39.5600,,,8.1047,59.3200,11.7915
2005-03-23,58.7399,,,39.4100,,,8.0599,57.9600,11.5385
2005-03-24,58.6602,,,39.3800,,,7.9926,57.9600,11.6397
2005-03-28,58.1398,,,39.1900,,,7.9702,57.0800,11.2247
2005-03-29,57.6700,,,39.1300,,,7.8245,56.6900,11.2753
2005-03-30,58.3100,,,39.3600,,,8.1383,56.7900,11.3462
2005-03-31,59.1999,,,39.7500,,,7.9702,58.9300,11.6903
2005-04-01,59.3902,,,39.5300,,,8.0599,60.2900,11.7915
2005-04-04,59.3700,,,39.4100,,,8.0487,60.1500,11.7915
2005-04-05,59.2500,,,39.6800,,,7.9590,59.1000,11.6296
2005-04-06,59.5501,,,39.8100,,,7.9366,60.2900,11.5587
2005-04-07,59.4699,,,39.4000,,,8.0711,59.4600,11.5486
2005-04-08,59.2500,,,39.5500,,,8.1159,59.0600,11.6397
2005-04-11,59.4000,,,39.7100,,,8.0374,59.5900,11.6903
2005-04-12,59.4000,,,40.0600,,,7.9926,58.5500,11.6903
2005-04-13,58.7502,,,40.1000,,,7.8693,57.1000,11.7308
2005-04-14,58.1998,,,39.8200,,,7.7796,56.6000,11.6903
2005-04-15,57.3301,,,39.4800,,,7.6227,55.3500,11.7004
2005-04-18,57.6301,,,39.6200,,,7.6227,55.8100,11.7915
2005-04-19,58.1000,,,39.5200,,,7.6675,57.2500,11.8826
2005-04-20,57.7399,,,39.4400,,,7.6563,56.5500,11.8927
2005-04-21,57.9499,,,39.4000,,,7.7012,57.4800,11.8927
2005-04-22,57.7999,,,39.3800,,,7.6115,57.4500,11.9939
2005-04-25,58.1801,,,39.3300,,,7.7572,58.0400,12.0445
2005-04-26,58.1501,,,39.3300,,,7.7348,57.8900,12.0344
2005-04-27,57.6400,,,39.4800,,,7.6787,56.5500,12.0749
2005-04-28,57.5101,,,39.7400,,,7.3537,55.8200,11.8927
2005-04-29,57.7699,,,40.1000,,,7.4097,55.8800,11.9433
2005-05-02,58.4000,,,40.4200,,,7.2303,57.4900,11.9433
2005-05-03,58.0301,,,40.1500,,,7.2303,56.4100,11.9433
2005-05-04,58.6302,,,40.5000,,,7.2976,57.2000,11.9838
2005-05-05,58.7399,,,40.3700,,,7.3537,57.8900,12.0850
2005-05-06,59.0001,,,40.4100,,,7.3649,58.6000,12.1356
2005-05-09,59.3301,,,40.4800,,,7.5891,58.7500,12.2470
2005-05-10,58.9298,,,40.3500,,,7.4321,58.4500,12.1457
2005-05-11,58.7601,,,40.1900,,,7.5106,57.8600,12.1964
2005-05-12,57.9499,,,40.0900,,,7.4994,56.3900,12.0951
2005-05-13,57.7300,,,39.8300,,,7.7908,55.8700,12.0749
2005-05-16,58.0001,,,40.2500,,,7.8020,55.6100,11.9433
2005-05-17,58.3100,,,40.0300,,,7.8469,56.7100,12.0850
2005-05-18,58.6499,,,40.2500,,,7.9702,56.2500,12.1862
2005-05-19,58.9200,,,40.3600,,,8.0487,56.9600,12.1660
2005-05-20,58.9298,,,40.4600,,,8.0150,56.5000,12.2976
2005-05-24,59.3001,,,40.5100,,,8.1047,57.7700,12.3988
2005-05-25,59.3001,,,40.1500,,,8.0374,58.4300,12.3381
2005-05-26,59.4802,,,40.1700,,,8.0487,59.0300,12.3988
2005-05-27,59.8900,,,40.3000,,,8.0487,59.7800,12.5506
2005-05-30,60.2500,,,40.4800,,,8.1383,60.3000,12.4899
2005-05-31,59.8698,,,40.4800,,,8.0823,59.1900,12.4595
2005-06-01,60.0001,,,40.1600,,,8.2056,60.0500,12.5911
2005-06-02,59.9200,,,40.1600,,,8.2168,59.7500,12.5506
2005-06-03,60.1999,,,40.2700,,,8.1271,60.5200,12.5202
2005-06-06,60.1399,,,40.4100,,,7.9590,60.8000,12.6113
2005-06-07,60.2200,,,40.6700,,,7.8693,60.4600,12.6012
2005-06-08,60.4601,,,40.7600,,,7.8469,61.4000,12.6518
2005-06-09,60.9899,,,40.9000,,,7.8245,62.7100,12.6518
2005-06-10,60.9800,,,40.7700,,,7.6003,63.7000,12.6518
2005-06-13,61.3598,,,40.7000,,,7.6563,64.4000,12.6417
2005-06-14,61.2501,,,40.5800,,,7.6227,64.7000,12.7024
2005-06-15,61.4901,,,40.6000,,,7.5666,65.3800,12.8543
2005-06-16,62.1699,,,40.7200,,,7.5891,66.5400,12.9049
2005-06-17,62.1498,,,40.7000,,,7.7012,66.4100,12.7632
2005-06-20,62.5201,,,40.8600,,,7.6787,67.6700,12.7530
2005-06-21,62.2998,,,41.0400,,,7.7796,66.2000,12.6923
2005-06-22,62.8999,,,41.5900,,,7.8245,67.1200,12.7126
2005-06-23,62.4301,,,41.5400,,,7.7236,67.0000,12.7530
2005-06-24,62.5300,,,41.7400,,,7.6899,66.9900,12.8036
2005-06-27,62.3200,,,41.4500,,,7.5554,68.2600,12.5506
2005-06-28,62.5900,,,41.7900,,,7.6787,67.3000,12.5202
2005-06-29,62.3898,,,41.7700,,,7.5778,66.5300,12.6012
2005-06-30,61.8900,,,41.2800,,,7.4994,66.3000,12.4494
2005-07-04,61.9299,,,41.1800,,,7.3424,68.0000,12.5506
2005-07-05,62.7199,,,41.3900,,,7.5218,70.0400,12.7530
2005-07-06,62.9201,,,41.3500,,,7.4994,70.1300,12.7530
2005-07-07,63.1001,,,41.4000,,,7.4657,70.4000,12.7429
2005-07-08,63.3500,,,41.7700,,,7.4545,70.4100,12.7935
2005-07-11,63.7701,,,41.9600,,,7.5106,70.2200,12.7935
